traffic,precip,temp_f,mon,tues,wed,thu,fri,sat,sun,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
0.236666667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.508333333,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.714166667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.7075,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.674166667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.636666667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.611666667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.584166667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5975,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.629166667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.688333333,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.71,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.7575,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.761666667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.681666667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.540833333,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.17,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1275,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.141666667,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.100833333,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.083333333,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.11,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.211666667,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.550833333,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.793333333,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.856666667,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.81,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.780833333,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.7225,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.675833333,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5825,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.541666667,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.570833333,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.605,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.671666667,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.743333333,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.665,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.535,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.431666667,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.243333333,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.126666667,1.93,0.753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.114166667,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.105833333,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.114166667,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.098333333,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.090833333,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.179166667,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4625,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.685833333,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.713333333,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.663333333,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
