year,mo,da,temp,min,max,prcp
2019,01,07,81.7,69.8,93.2,0.0
2019,01,26,74.6,62.6,86.0,0.0
2019,01,18,73.6,64.4,87.8,0.0
2019,01,29,76.8,62.6,89.6,0.0
2019,01,30,80.8,68.0,95.0,0.0
2019,01,15,79.6,68.0,93.2,0.0
2019,01,10,79.5,68.0,93.2,0.0
2019,01,07,73.9,68.0,82.4,99.99
2019,01,21,77.5,64.4,89.6,0.0
2019,01,25,77.1,60.8,91.4,0.0
2019,01,18,76.0,66.2,86.0,0.0
2019,01,12,78.5,66.2,95.0,0.0
2019,01,16,78.6,66.2,89.6,0.0
2019,01,17,75.2,66.2,87.8,0.0
2019,01,12,80.2,71.2,91.0,1.32
2019,01,23,73.7,60.8,86.0,0.0
2019,01,06,81.8,75.2,92.1,0.0
2019,01,22,79.8,71.6,90.0,0.0
2019,01,27,77.8,67.3,91.2,0.0
2019,01,02,72.7,60.8,87.8,0.0
2019,01,31,81.6,73.4,91.4,0.0
2019,01,14,80.2,71.6,89.2,0.0
2019,01,18,82.5,75.2,89.6,0.0
2019,01,21,69.5,60.8,84.2,0.0
2019,01,30,80.7,70.3,90.5,99.99
2019,01,26,78.5,67.1,87.8,0.0
2019,01,27,78.9,68.0,90.5,0.0
2019,01,30,82.4,74.5,91.4,0.0
2019,01,04,79.0,72.7,82.4,0.0
2019,01,21,73.0,59.0,89.6,0.0
2019,01,12,80.6,71.6,91.4,0.0
2019,01,13,80.7,73.4,93.2,0.0
2019,01,31,80.5,71.6,93.2,0.0
2019,01,14,80.8,73.2,90.5,2.82
2019,01,09,81.2,75.2,87.8,0.0
2019,01,29,79.4,67.6,91.8,0.0
2019,01,20,70.0,60.8,82.4,0.0
2019,01,20,73.0,60.8,89.6,0.0
2019,01,06,81.6,71.6,98.6,0.0
2019,01,19,78.7,66.2,91.4,0.0
2019,01,17,79.9,74.1,90.0,0.06
2019,01,03,78.3,69.4,86.5,0.0
2019,01,30,79.6,68.0,91.4,0.0
2019,01,05,81.9,72.7,89.6,0.21
2019,01,04,78.3,72.0,94.1,99.99
2019,01,08,81.3,77.0,87.8,0.14
2019,01,30,82.7,75.2,91.4,99.99
2019,01,29,69.7,59.0,82.4,0.0
2019,01,01,77.7,69.8,88.9,0.0
2019,01,21,81.1,70.7,90.0,0.0
2019,01,19,70.3,62.6,82.4,0.0
2019,01,01,70.9,57.2,86.0,0.0
2019,01,13,81.3,72.3,89.6,0.23
2019,01,28,80.2,68.0,92.7,0.0
